skill,salary
Docker,95930
Docker,75878
Docker,81702
Docker,81702
Docker,81702
Docker,81702
Docker,81702
Docker,81702
Docker,81702
Docker,84900
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,85000
Docker,85000
Docker,85010
Docker,85010
Docker,85010
Docker,85010
Docker,85771
Docker,85771
Docker,85970
Docker,85970
Docker,86135
Docker,86135
Docker,86325
Docker,86325
Docker,86325
Docker,87139
Docker,88005
Docker,88442
Docker,88691
Docker,90037
Docker,91531
Docker,91531
Docker,92331
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,93372
Docker,93372
Docker,93372
Docker,94333
Docker,94432
Docker,94432
Docker,94432
Docker,94432
Docker,94473
Docker,94536
Docker,99838
Docker,99912
Docker,102771
Docker,81390
Docker,82763
Docker,83346
Docker,83346
Docker,83450
Docker,83607
Docker,85250
Docker,85250
Docker,86264
Docker,86264
Docker,86264
Docker,86264
Docker,86264
Docker,86264
Docker,86287
Docker,86287
Docker,88067
Docker,88442
Docker,88442
Docker,89498
Docker,92768
Docker,92768
Docker,92768
Docker,92768
Docker,92768
